name	wt 15' 0.4M - wt 0
YDL204W	1.3793994204
YGR196C	1.3773559213
YHR160C	1.3759849487
YGR223C	1.3745300864
YOL123W	1.3742894802
YMR302C	1.3726688284
YNL003C	1.3722853979
YMR298W	1.3700582451
YER071C	1.3700272987
YHR030C	1.3695705108
YPL147W	1.3688163918
YAL038W	1.367542912
YHR082C	1.367414146
YJL096W	1.3664730318
YER063W	1.3664365355
YOR237W	1.3651827687
YHR075C	1.364114256
YDR306C	1.3639731739
YKL134C	1.3628876812
YML068W	1.3628716936
YGL231C	1.3605118891
YGR254W	1.3604298929
YPR098C	1.3598010038
YLR110C	1.3590434338
YOR022C	1.3590087303
YMR066W	1.3580584881
YHR031C	1.3554565658
YKL026C	1.3553228289
YDR027C	1.3550541132
YHR029C	1.3546275461
YJL132W	1.3538831408
YLR104W	1.353579381
YOL113W	1.3535081916
YOL159C	1.3532260631
YNR071C	1.3527945743
YPL206C	1.3518611906
YGR179C	1.349043489
YJL053W	1.3478397836
YER020W	1.3477372327
YBR168W	1.3447578282
YIL071C	1.3436557566
YFL041W-A	1.3434609983
YJR067C	1.3425575031
YGR112W	1.3411113615
YIL001W	1.3411043555
YMR313C	1.3409680339
YKL056C	1.3391324353
YAL037W	1.3382457635
YPL196W	1.3369405778
YML095C	1.3347166802
YBR162W-A	1.3344003289
YPL186C	1.3342063413
YAL027W	1.333429262
YER078C	1.3333872409
YDR256C	1.3327572948
YBR211C	1.3319400558
YDR124W	1.330732144
YDR251W	1.3306751728
YPR046W	1.3291098565
YOR353C	1.3272271641
YLR447C	1.3271309671
YBR011C	1.326962204
YDR139C	1.3266454726
YCR012W	1.3246666535
YKR068C	1.3217906235
YGR168C	1.3216122745
YOR025W	1.3215882809
YER130C	1.3203414219
YPL077C	1.3194001695
YDR068W	1.3191282325
YDR099W	1.3184417645
YHL015W	1.3183528998
YJR019C	1.3177623792
YFR010W	1.317275931
YHR049W	1.3171434088
YLR173W	1.3168581519
YDL230W	1.3160860033
YOL096C	1.3141492277
YFR022W	1.3134705469
YGL096W	1.312064377
YLR346C	1.3112288651
YOR358W	1.3111449078
YOL040C	1.3105471614
YNR058W	1.3090311803
YHL002W	1.3088205158
YLR206W	1.3063175397
YGR118W	1.3055746071
YBR285W	1.3052369409
YOR096W	1.3042766116
YBR278W	1.3041458897
YLR363C	1.3037412599
YJL173C	1.3019620044
YPR025C	1.3018742698
YDR392W	1.3004004539
YOR167C	1.3002948713
YHR016C	1.3002855209
YDL045W-A	1.2994361698
YLR029C	1.2992143773
YDL002C	1.2985931605
YKL021C, YKL020C	1.2982189278
YBR237W	1.2976771001
YBR131W	1.2972670889
YOR276W	1.2963006236
YHR174W	1.2961278041
YKL018W	1.2960941265
YGL248W	1.2959645228
YFR026C	1.2958709248
YKR067W	1.2943710599
YIL009C-A	1.2936630605
YBR018C, YBR019C	1.2923566508
YDL087C	1.2915101287
YBL010C	1.2912525535
YKL152C	1.2912494958
YDR484W	1.2911889202
YGR085C	1.2911829138
YPL002C	1.2900996952
YIL057C	1.2896871633
YNL040W	1.2892757515
YDL119C	1.2888614008
YLR436C	1.287834909
YGL048C	1.2865993074
YDR538W	1.2865237178
YGR048W	1.28605914
YLL024C	1.2855478124
YDL001W	1.2844458572
YDL154W	1.2838953953
YNL147W	1.2837790621
YGR080W	1.2817079017
YMR186W	1.2815589639
YER021W	1.281415501
YER051W	1.2808280638
YJL031C	1.280665073
YMR255W	1.2795944733
YDR286C	1.2793596991
YPL052W	1.2792655833
YOL015W	1.2792083349
YGL253W	1.2792015549
YDR022C	1.2786808168
YGR020C	1.2783565541
YLL002W	1.2780923888
YJL177W	1.2779546508
YJR125C	1.2776813401
YOR032C	1.2774218812
YMR097C	1.276059953
YKL002W	1.2755899048
YJL139C	1.2755477154
YNL277W-A	1.2751396385
YFR049W	1.2747839334
YKL164C	1.2736196995
YOR208W	1.2727494966
YPL190C	1.2725980745
YER182W	1.2725253254
YNL084C	1.2723258866
YDR288W	1.2722809431
YOL013C	1.2720781691
YCL055W	1.2706646727
YPL131W	1.2706084691
YJL171C	1.2701575345
YJR104C	1.2701348466
YBR132C	1.2700589564
YJL187C	1.2699170814
YMR265C	1.269072378
YMR122W-A	1.2684231608
YNL312W	1.2684006193
YNL244C	1.2681323296
YPL037C	1.2680531011
YNL041C	1.2675693137
YKR094C	1.2659520287
YMR070W	1.2658603141
YJL049W	1.2654370644
YLR377C	1.2649189195
YHL042W	1.264579578
YDR539W	1.2640903997
YFL029C	1.2638253365
YFL021W	1.2638130082
YBR279W	1.2636633301
YLR119W	1.2630038496
YKL060C	1.2628636027
YBL041W	1.2623431121
YGR019W	1.2619742697
YKL076C, YKL075C	1.2603317758
YNL009W	1.26004327
YHR060W	1.2599049316
YMR258C	1.2598662299
YOR076C	1.2597738306
YHR105W, YHR106W	1.2597441641
YEL005C	1.2572364397
YMR023C	1.2568150476
YGL062W	1.2567148216
YKL220C	1.2563933719
YDR214W	1.2561538221
YPL109C	1.2561073804
YKL087C	1.255876734
YDR532C	1.2558333693
YDR490C	1.2557890608
YEL057C	1.2555827703
YGR235C	1.2553636406
YBR024W	1.2550775482
YGR076C	1.254886349
YDR151C	1.2547593472
YOR266W	1.253395549
YPL072W	1.2533115557
YLR044C	1.2527658078
YOR005C	1.2526650008
YMR041C	1.2503862366
YLR167W	1.2499527712
YLR261C, YLR262C	1.2497816195
YPR068C	1.2494225331
YGL005C	1.2490587544
YDR385W	1.248706506
YOR249C	1.2486388795
YBR228W	1.248271661
YNL009W	1.247932258
YLR054C	1.2476236958
YLR168C	1.2462200704
YDR086C	1.2453490297
YDL188C	1.244927199
YBR199W	1.2444789109
YDR508C	1.244216666
YGL047W	1.2439195823
YIL031W, YIL030W-A	1.2432977746
YFL030W	1.2430685673
YPR102C	1.2426392377
YCR024C	1.2425041865
YBR009C	1.2423921975
YDL133W	1.2422056199
YGR028W	1.2420832335
YKL106C-A	1.2415188945
YGL237C	1.241424676
YGL154C	1.2412660186
YMR121C	1.240770161
YPL168W	1.2403833136
YDR031W	1.2399401224
YIL036W	1.2393693615
YJL159W	1.2391841243
YDR333C	1.238969381
YER169W	1.2376543538
YNL156C	1.2371941482
YLR219W	1.2364195002
YKL061W	1.2348439686
YKL047W	1.2344173014
YIL002C	1.2341763455
YHL016C	1.2339441652
YEL062W	1.2338245238
YLR303W	1.2324910342
YPL228W	1.2320615273
YCL043C, YCL041C	1.2316350904
YIR032C	1.23148102
YFR023W	1.2314324413
YMR065W	1.2310425252
YGR035C	1.2306804083
YMR039C	1.2306602108
YBR177C	1.2291326125
YBR105C	1.2290443692
YNR049C	1.2286047512
YGL110C	1.2284767639
YPR191W	1.2282394014
YPL213W	1.2266868156
YJL047C	1.2261554422
YBR151W	1.2255523664
YDL169C	1.2253541502
YLR004C	1.2245675515
YAL031C	1.224359416
YER137C	1.2237908039
YLR205C	1.2236200347
YER177W	1.2233766498
YKR029C	1.2231836879
YLR307C-A	1.2229052158
YLR189C	1.2227882338
YHL001W	1.222633524
YDR252W	1.2225659738
YIR033W	1.2221368969
YKL096W-A	1.2220827701
YGL075C	1.2219952121
YMR283C	1.2219453161
YJL138C	1.2218467098
YKR064W	1.2215561134
YKL167C	1.221148808
YOL001W	1.2202878245
YBL038W	1.2202546095
YML054C	1.2196083816
YLR048W	1.2187790977
YKL065C	1.2181755336
YOR054C	1.2177098445
YOR133W	1.2176070238
YKL180W	1.2175973713
YGR266W	1.2173727014
