ensembl_transcript_id	ensembl_gene_id	external_gene_name
ENST00000215631	ENSG00000099860	GADD45B
ENST00000215637	ENSG00000099866	MADCAM1
ENST00000215659	ENSG00000188130	MAPK12
ENST00000215727	ENSG00000099937	SERPIND1
ENST00000215730	ENSG00000099940	SNAP29
ENST00000215739	ENSG00000099949	LZTR1
ENST00000215742	ENSG00000184436	THAP7
ENST00000215743	ENSG00000099953	MMP11
ENST00000215754	ENSG00000240972	MIF
ENST00000215770	ENSG00000099974	DDTL
ENST00000215781	ENSG00000099985	OSM
ENST00000215790	ENSG00000099992	TBC1D10A
ENST00000215793	ENSG00000099995	SF3A1
ENST00000215794	ENSG00000184979	USP18
ENST00000215812	ENSG00000100012	SEC14L3
ENST00000215829	ENSG00000100028	SNRPD3
ENST00000215832	ENSG00000100030	MAPK1
ENST00000215838	ENSG00000185339	TCN2
