gene	comName	lfc_interaction	padj_interaction	log2FoldChange_Stress_Vs_NoStress_WT	log2FoldChange_Stress_Vs_NoStress_KO	padj_Stress_Vs_NoStress_WT	padj_Stress_Vs_NoStress_KO	stressGene	mutantDep	04NB70_02834AAA_TTAACT	05NB70_02835AAA_TGCACG	06NB70_02836AAA_TATGTC	07NB70_02837AAA_CCTAAG	08NB70_02838AAA_GTGTAG	09NB70_02839AAA_GGAGGT	01NB70_02831AAA_TCAGGA	02NB70_02832AAA_GATCAC	03NB70_02833AAA_GTCAGG	10NB70_02840AAA_GGCTGC	11NB70_02841AAA_TGTGCA	12NB70_02842AAA_CCGCAA
1969	YGR130C		-1.068989862342	0.0480681024033495	2.73331516876628	1.66333893561087	9.71985959797411e-12	5.98548185090323e-05	Upregulated	Less upregulated	1688.26513273271	213.526456993497	1600.2274026287	243.673346657418	829.383200150919	346.438602851107	230.727299202381	1079.15581952003	205.834777561933	968.085092515954	277.859186924633	971.685769585033
1970	YGR131W	FHN1	-0.755897745586958	0.776997271013728	2.59440350595471	1.83131468195279	1.2926423097691e-07	5.79838225395761e-05	Upregulated	-	385.380353083711	90.9275343178051	565.404916294445	107.042220138794	401.072057151124	80.5103795358207	75.6165098226292	655.704459904017	97.5006841082839	321.861193549663	97.4436731923192	311.770835160973
1977	YGR138C	TPO2	4.53771885085437	1.16170857159959e-12	-4.49039681447411	0.02772220318124	3.92996745695903e-11	1	Downregulated	Less downregulated	2.13704447181355	128.728868809477	6.57447577086564	26.9781205227856	37.5711528947188	40.2551897679104	92.0970311942279	8.21096819200021	125.358022424936	38.3565152934831	50.169019861392	44.5386907372819
1979	YGR140W	CBF2	0.500643094187275	1	-2.07523144283291	-1.57130871798451	0.000589005866858423	0.00396393634864716	Downregulated	-	162.41537985783	538.413602084082	117.025668721408	497.789836743012	156.859563335451	620.905805814132	602.023751280163	97.3586228480025	441.074523346998	180.942691710562	545.105696570894	226.40501124785
1981	YGR142W	BTN2	-1.27135608304023	0.018574408856515	4.29971881834693	3.02410780483859	5.16559089460965e-33	2.75996619568711e-43	Upregulated	Less upregulated	3921.47660577787	155.291968722544	2305.01120526549	153.166103613234	1335.65448540726	153.701633659294	145.416365043518	2384.69976204806	131.548542050859	1546.76817107416	189.098613323708	1205.51389595576
1985	YGR144W	THI4	-2.4208129331316	1.78162561882191e-05	3.64113552328002	1.21738706797408	8.13864872593515e-13	1	Upregulated	Less upregulated	596.235407635981	83.7759304950564	957.243672238037	43.5130976173961	93.9278822367971	35.3757728263455	42.6554670794319	1188.24439692803	92.8577943888418	84.2175661878651	31.8380318351142	83.8812008885476
1986	YGR145W	ENP2	0.212252486500483	1	-2.10455008211752	-1.89494706037935	0.000228223597746767	4.85591950653073e-12	Downregulated	-	530.699377167032	2471.38994960416	596.9623999946	2321.85888886426	607.713398072077	2716.61538221625	2067.82071091882	350.725641344009	1756.55994385559	747.118210933932	2774.73271387238	769.034726730401
1991	YGR149W		-0.673469563116913	1	2.06373135709158	1.38310307702017	0.00302482750969772	0.0745991681188007	Upregulated	-	1953.25864723759	796.892997392	3459.4891506295	496.049312838316	1300.90116897964	359.856999440411	509.926720085935	3499.04544524809	806.315181276443	1204.89488258876	570.19020650159	1270.83730903711
2002	YGR159C	NSR1	1.17129916206798	0.00208975739529487	-4.21752339096231	-3.0494919375555	2.07741669523225e-52	2.91013138027778e-63	Downregulated	Less downregulated	898.271026318963	15880.647117258	859.941430829226	18719.3345950038	2196.03388669632	21388.9241633497	20470.7464283928	1004.08411033603	14518.3161526954	2327.23987356764	15243.6637271153	2244.75001315901
2004	YGR161C	RTS3	-1.30301435207887	0.0110680764204707	4.09465054684002	2.79035450067969	7.07516267156889e-44	2.15712202902827e-23	Upregulated	Less upregulated	4712.18306034888	202.288222414892	3667.24258498886	222.787059801068	1955.57850817012	328.140789320239	280.168863317178	4521.89748288012	266.19234391468	2036.23065971056	218.042278628358	1369.56474017142
