name	comName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YGR182C		456.911122302433	-0.422646026738911	0.163859897257436	0	1	1
YGR183C	QCR9	653.589427531855	-0.421466603523887	0.164142674885684	0	1	1
YGR184C	UBR1	3374.06063061648	0.243416423837284	0.124257698735487	0	1	1
YGR185C	TYS1	8255.09783479036	-0.0014792762086909	0.132499120734057	0	1	1
YGR186W	TFG1	826.565554600017	0.155581378663471	0.139936557603302	0	1	1
YGR187C	HGH1	1210.53163870087	0.143807769416927	0.139901706488608	0	1	1
YGR188C	BUB1	204.876962673333	-0.00217898915220301	0.159202358130785	0	1	1
tK(CUU)G3		0	NA	NA	NA	NA	NA
YGR189C	CRH1	6359.3690290511	-0.319408229870968	0.164103407675777	0	1	1
tW(CCA)G2		0	NA	NA	NA	NA	NA
YGR190C		2.87404144110307	-0.0903542380389222	0.129771304009606	0	1	1
YGR191W	HIP1	4640.53481448351	-0.174579555427796	0.171575649345439	0	1	1
YGR192C	TDH3	201051.954288559	-0.401559387389755	0.163768270551398	0	1	1
YGR193C	PDX1	939.453126793101	0.122473717553	0.143250825149635	0	1	1
YGR194C	XKS1	180.584754604144	-0.0358946381350917	0.172225648760927	0	1	1
YGR195W	SKI6	711.176252186868	-0.0645983174919306	0.138626166248386	0	1	1
YGR196C	FYV8	345.388132104466	0.395149897280456	0.15890104281942	0	1	1
YGR197C	SNG1	2631.47271701422	-0.0730585076539775	0.164255021461044	0	1	1
YGR198W	YPP1	2561.67440212468	0.196297639123592	0.164869325808754	0	1	1
YGR199W	PMT6	1507.7032898995	-0.110601345600831	0.172999321181325	0	1	1
YGR200C	ELP2	2718.09250488197	0.0607633253316812	0.118071698538322	0	1	1
YGR201C		239.709027620322	-0.337161904240766	0.173202300916296	0	1	1
YGR202C	PCT1	540.783393141043	-0.10633893081927	0.138861313486923	0	1	1
YGR203W	YCH1	394.614320234622	-0.0190606022981118	0.172144462701127	0	1	1
YGR204W	ADE3	11322.2376213922	-0.0741871181378133	0.154197614441034	0	1	1
YGR204C-A		2.95520580150874	-0.138706526174086	0.126958723465777	0	1	1
YGR205W	TDA10	110.120163336017	0.0888745395007996	0.170273970087557	0	1	1
YGR206W	MVB12	346.349630059964	-0.211994186466304	0.160902594602165	0	1	1
YGR207C	CIR1	471.168007374265	-0.160502079416837	0.163697721720093	0	1	1
YGR208W	SER2	1332.84372991645	-0.240617988578865	0.12981044171917	0	1	1
YGR209C	TRX2	4679.37635907275	-0.140428506127176	0.180546274110444	0	1	1
YGR210C		1705.08641360871	0.0294644138154588	0.148713452846779	0	1	1
YGR211W	ZPR1	3740.00405743636	0.0252268627684128	0.135522583221465	0	1	1
YGR212W	SLI1	127.939125956425	0.109876283127619	0.175655806636866	0	1	1
YGR213C	RTA1	8.57269550265223	-0.161446989557059	0.16342775347848	0	1	1
YGR214W	RPS0A	44318.1941606817	-0.0909537131819679	0.127946863917357	0	1	1
YGR215W	RSM27	249.378058950745	-0.437671996448487	0.160897864003525	0	1	1
YGR216C	GPI1	1240.0686995667	-0.153044824434461	0.181349271670351	0	1	1
YGR217W	CCH1	1489.34905257849	-0.0546024518818125	0.143870602706955	0	1	1
tG(GCC)G2		0.24161947066643	-0.0111132100624961	0.0389053605439883	0	1	1
YGR218W	CRM1	5563.05028530163	0.050035644376678	0.120641270190182	0	1	1
YGR219W		2.23745641229866	-0.00660914604072272	0.115230105985838	0	1	1
YGR220C	MRPL9	349.357050503463	-0.146562189803636	0.142340995894013	0	1	1
YGR221C	TOS2	572.50110504108	0.450719993274681	0.151127198718636	0	1	1
snR7-L		0	NA	NA	NA	NA	NA
snR7-S		0	NA	NA	NA	NA	NA
YGR222W	PET54	304.04590675817	-0.0145151698315621	0.173434527134063	0	1	1
YGR223C	HSV2	249.455159790337	0.165795164734432	0.148527432293077	0	1	1
YGR224W	AZR1	4359.95024187002	-0.153644115349794	0.179575686560668	0	1	1
YGR225W	AMA1	16.9015247826123	0.175221559986963	0.19345718267413	0	1	1
