ensembl_gene_id	external_gene_name	log2FoldChange	lfcSE	padj	stressType
YNL185C	MRPL19	-0.347292907008553	0.0756937979406986	1	unresponsive
YNL186W	UBP10	-1.65123789839325	0.0650364119435772	1.5064114190959e-22	downregulated
YNL187W	SWT21	-0.252680113556905	0.0586341794865493	1	unresponsive
YNL188W	KAR1	-1.26358266904303	0.14521829198049	0.311342258448127	unresponsive
YNL189W	SRP1	-0.277679127709153	0.0491421705939641	1	unresponsive
YNL190W		-0.653937413395495	0.0961261930851967	1	unresponsive
YNL191W	DUG3	-0.579427714062304	0.0710116167579899	1	unresponsive
YNL192W	CHS1	1.68907482476214	0.120178623754682	7.03116169752855e-08	upregulated
YNL193W		1.8993738546396	0.0681255375775575	1.45038226312486e-38	upregulated
YNL194C		8.85232506690351	0.313983557040263	3.58669449646517e-136	upregulated
YNL195C		5.50365260588128	0.161590370338809	5.8671771276838e-169	upregulated
YNL196C	SLZ1	1.35198921646493	0.261501629871594	0.747693109897507	unresponsive
YNL197C	WHI3	-0.301350324951302	0.0862393177755683	1	unresponsive
YNL198C		0.391400745094924	0.276881530678572	1	unresponsive
YNL199C	GCR2	-0.00819609459052882	0.0783679270120487	1	unresponsive
YNL200C		2.73764778988892	0.138457112441434	6.17175685953702e-35	upregulated
YNL201C	PSY2	-0.484383548281737	0.0712729783269017	1	unresponsive
YNL202W	SPS19	1.18786595767397	0.13353367805912	0.675904654542496	unresponsive
YNL203C		0.270732912303379	0.117254009379565	1	unresponsive
YNL204C	SPS18	0.411734724586105	0.084447130398421	1	unresponsive
YNL205C		1.0511468229801	0.470769899561168	1	unresponsive
YNL206C	RTT106	-0.291866883716707	0.0725507365050945	1	unresponsive
YNL207W	RIO2	-1.72844927641268	0.0586315180254925	2.95426125543853e-34	downregulated
YNL208W		1.01893772424053	0.0754929470594039	1	unresponsive
YNL209W	SSB2	-1.25962314853926	0.154933069371537	0.41186235028746	unresponsive
YNL210W	MER1	-0.324281617853704	0.285532175013176	1	unresponsive
YNL211C		-0.229545948316848	0.156713505634636	1	unresponsive
YNL212W	VID27	0.420641303959449	0.0723764123473618	1	unresponsive
YNL213C	RRG9	-0.253835640669224	0.0858041630278722	1	unresponsive
YNL214W	PEX17	1.17271581851879	0.06467993962671	0.0387500062389965	upregulated
